"어린이집명",시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
"맑은숲어린이집",경상남도,창원시 성산구,가정,13,5,"경상남도 창원시 성산구 대정로 84 204동 102호(남양동,피오르빌아파트)",055-283-0202,055-283-0202,,,,Y,,2019-03-28
"소라어린이집",경상남도,창원시 성산구,가정,13,3,"경상남도 창원시 성산구 성산패총로178번길 29 103동 110호(가음정동, 소라아파트)",055-261-5609,055-261-5609,,,,N,,2019-03-28
"솔로몬어린이집",경상남도,창원시 성산구,가정,11,3,"경상남도 창원시 성산구 대정로 84 206동 104호(남양동, 피오르빌아파트)",055-284-0933,,,,,N,,2019-03-28
"아기별어린이집",경상남도,창원시 성산구,가정,18,5,"경상남도 창원시 성산구 대정로 73 111동 105호(남양동, 성원1차아파트)",055-266-8835,055-266-8835,,,,Y,,2019-03-28
"아이마중어린이집",경상남도,창원시 성산구,가정,20,6,경상남도 창원시 성산구 가양로34번길 9-5,055-295-7421,055-295-7421,,,,Y,,2019-03-28
"아이왕국어린이집",경상남도,창원시 성산구,가정,20,6,"경상남도 창원시 성산구 대암로 60 5동 102호(남양동, 상남동성아파트)",055-264-1518,055-264-1518,,,,Y,,2019-03-28
"아행비어린이집",경상남도,창원시 성산구,가정,11,5,"경상남도 창원시 성산구 원이대로883번길 3-15 나동 102호(가음동, 한아름아파트)",055-282-2167,055-282-2167,,,,Y,,2019-03-28
"애플어린이집",경상남도,창원시 성산구,가정,20,4,경상남도 창원시 성산구 가음로85번길 24 (남양동),055-282-6321,055-282-6321,,,,Y,,2019-03-28
"여우오줌어린이집",경상남도,창원시 성산구,가정,20,6,"경상남도 창원시 성산구 대암로 56-1 6동 104호(남양동, 롯데아파트)",055-281-6522,055-281-6522,,,,Y,,2019-03-28
"오렌지나무어린이집",경상남도,창원시 성산구,가정,10,4,"경상남도 창원시 성산구 원이대로883번길 11-3 나동 107호(가음동, 삼선아파트)",055-263-7899,055-263-7899,,,,Y,,2019-03-28
"왕눈이어린이집",경상남도,창원시 성산구,가정,20,5,"경상남도 창원시 성산구 대정로 73 110동 105호(남양동, 성원1차아파트)",055-602-5200,055-263-5201,,,,Y,,2019-03-28
"존조리어린이집",경상남도,창원시 성산구,가정,20,5,"경상남도 창원시 성산구 대암로 60 6동 103호(남양동, 상남동성아파트)",055-262-2945,055-262-2945,,,,Y,,2019-03-28
"좋은맘어린이집",경상남도,창원시 성산구,가정,11,2,"경상남도 창원시 성산구 원이대로883번길 6 2동 104호(가음동, 성원은아아파트)",055-602-4662,055-602-4662,,,,N,,2019-03-28
"창원코알라어린이집",경상남도,창원시 성산구,가정,11,3,경상남도 창원시 성산구 원이대로883번길 6 6동 105호,070-8613-2167,070-8613-2167,,,,N,,2019-03-28
"청솔어린이집",경상남도,창원시 성산구,가정,19,5,"경상남도 창원시 성산구 대정로 73 102동 103호(남양동, 성원1차아파트)",055-601-1776,055-601-1776,,,,Y,,2019-03-28
"캥거루품어린이집",경상남도,창원시 성산구,가정,13,3,"경상남도 창원시 성산구 대정로 84 203동 101호(남양동,피오르빌아파트)",055-289-7016,055-287-7016,,,,N,,2019-03-28
"킨더누리어린이집",경상남도,창원시 성산구,가정,19,3,"경상남도 창원시 성산구 대정로 73 112동 107호(남양동, 성원1차아파트)",055-263-5140,,,,,N,,2019-03-28
"토마토어린이집",경상남도,창원시 성산구,가정,20,5,"경상남도 창원시 성산구 대정로 99 205동 102호(남양동, 성원2차아파트)",055-281-9388,055-281-9388,,,,Y,,2019-03-28
"파란꿈어린이집",경상남도,창원시 성산구,가정,15,5,"경상남도 창원시 성산구 가음정로23번길 10-21 103동 102호(가음동, 한림풀에버아파트)",055-286-5872,055-286-5872,,,,Y,,2019-03-28
"팝콘어린이집",경상남도,창원시 성산구,가정,19,5,"경상남도 창원시 성산구 대암로 64 3동 106호 (남양동,상남동성아파트)",055-266-8040,,,,,N,,2019-03-28
LG전자창원어린이집,경상남도,창원시 성산구,직장,90,21,경상남도 창원시 성산구 성산패총로178번길 6 (가음정동),055-260-3051,055-260-3052,,,,N,,2019-03-28
"창원시립 반송어린이집",경상남도,창원시 성산구,국공립,95,12,경상남도 창원시 성산구 원이대로473번길 19-14 창원시립반송어린이집(14-1번지),055-286-2648,055-286-2647,,,,N,,2019-03-28
"노블파크어린이집",경상남도,창원시 성산구,민간,60,8,경상남도 창원시 성산구 반송로 106 노블파크아파트내 복지동,055-282-2998,055-264-3455,,,,Y,,2019-03-28
"에덴어린이집",경상남도,창원시 성산구,민간,68,9,경상남도 창원시 성산구 외동반림로 245 (반림동),055-267-2015,055-261-9182,,,,Y,,2019-03-28
"중앙어린이집",경상남도,창원시 성산구,민간,85,11,경상남도 창원시 성산구 충혼로224번길 5 창원중앙교회 1층 (반지동),055-273-1002,055-265-6330,,,,Y,,2019-03-28
"트리비앙 미소어린이집",경상남도,창원시 성산구,민간,57,10,경상남도 창원시 성산구 원이대로 495 트리비앙아파트 복리동 1층 (반림동),055-284-7779,055-284-7080,,,,Y,,2019-03-28
"고운별어린이집",경상남도,창원시 성산구,가정,20,1,"경상남도 창원시 성산구 원이대로 495 217동 101호(반림동, 트리비앙아파트)",055-286-1155,055-286-1155,,,,Y,,2019-03-28
"꿈동이어린이집",경상남도,창원시 성산구,가정,20,5,"경상남도 창원시 성산구 창원천로 292 114동104호(반지동, 대동아파트)",055-281-5583,055-281-5583,,,,N,,2019-03-28
"늘사랑어린이집",경상남도,창원시 성산구,가정,20,5,"경상남도 창원시 성산구 반송로 105 15동 104호(반림동, 럭키반림3차아파트)",055-261-3312,,,,,N,,2019-03-28
"럭키해뜰어린이집",경상남도,창원시 성산구,가정,19,4,"경상남도 창원시 성산구 반송로 105 8동 106호(반림동, 럭키반림3차아파트)",055-261-7998,055-261-7998,,,,Y,,2019-03-28
"루리어린이집",경상남도,창원시 성산구,가정,20,6,"경상남도 창원시 성산구 원이대로 495 215동 101호(반림동, 트리비앙아파트)",055-287-5586,055-287-5586,,,,Y,,2019-03-28
"민트어린이집",경상남도,창원시 성산구,가정,20,6,"경상남도 창원시 성산구 원이대로 449 122동 101호(반림동, 노블파크아파트)",055-601-2700,,,,,N,,2019-03-28
"반디어린이집",경상남도,창원시 성산구,가정,20,4,"경상남도 창원시 성산구 외동반림로 219 102동 101호(반림동, 현대1차아파트)",055-282-3027,055-282-3027,,,,Y,,2019-03-28
"사랑샘어린이집",경상남도,창원시 성산구,가정,19,3,"경상남도 창원시 성산구 원이대로 449 112동 103호(반림동, 노블파크아파트)",055-285-8642,055-285-8642,,,,Y,,2019-03-28
"새새순어린이집",경상남도,창원시 성산구,가정,20,7,경상남도 창원시 성산구 반지로 74,055-287-9872,055-286-9872,,,,Y,,2019-03-28
"숲속어린이집",경상남도,창원시 성산구,가정,20,5,"경상남도 창원시 성산구 원이대로 495 214동 102호(반림동, 트리비앙아파트)",055-282-3453,055-282-3453,,,,Y,,2019-03-28
"슬기어린이집",경상남도,창원시 성산구,가정,20,8,"경상남도 창원시 성산구 반송로 105 16동 101호(반림동, 럭키반림3차아파트)",055-263-5547,055-263-5547,,,,Y,,2019-03-28
"아이나무어린이집",경상남도,창원시 성산구,가정,19,3,"경상남도 창원시 성산구 반송로 159 202동 105호(반림동, 현대2차아파트)",055-281-1287,055-281-1287,,,,N,,2019-03-28
"아이뽀어린이집",경상남도,창원시 성산구,가정,20,5,"경상남도 창원시 성산구 원이대로 449 125동 107호(반림동, 노블파크아파트)",055-261-2612,055-261-2612,,,,N,,2019-03-28
"아이숲어린이집",경상남도,창원시 성산구,가정,20,1,경상남도 창원시 성산구 원이대로 449 103동 102호,055-266-1238,055-266-1238,,,,Y,,2019-03-28
"아이친구어린이집",경상남도,창원시 성산구,가정,19,4,"경상남도 창원시 성산구 외동반림로 219 101동 104호(반림동, 현대4차아파트)",055-283-1279,055-283-1279,,,,Y,,2019-03-28
"아이클어린이집",경상남도,창원시 성산구,가정,19,3,경상남도 창원시 성산구 외동반림로 219 104동 101호,055-274-3379,,,,,N,,2019-03-28
"예랑어린이집",경상남도,창원시 성산구,가정,17,3,"경상남도 창원시 성산구 원이대로 495 226동 102호(반림동, 트리비앙아파트)",055-282-2880,055-282-2880,,,,Y,,2019-03-28
"우등생어린이집",경상남도,창원시 성산구,가정,20,1,경상남도 창원시 성산구 창원천로138번길 25 (반지동),055-276-0371,055-276-0371,,,,Y,,2019-03-28
"웃는아이어린이집",경상남도,창원시 성산구,가정,20,4,"경상남도 창원시 성산구 원이대로 495 206동 101호(반림동, 트리비앙아파트)",070-7613-5667,070-7613-5667,,,,Y,,2019-03-28
"인스어린이집",경상남도,창원시 성산구,가정,20,9,"경상남도 창원시 성산구 원이대로 495 232동 102호(반림동, 트리비앙아파트)",055-277-3074,,,,,N,,2019-03-28
"자연빛깔어린이집",경상남도,창원시 성산구,가정,19,6,경상남도 창원시 성산구 창원천로138번길 24-1 (반지동),055-265-6504,070-7377-6504,,,,Y,,2019-03-28
"작은별어린이집",경상남도,창원시 성산구,가정,20,4,경상남도 창원시 성산구 충혼로175번길 11-1,055-602-6733,055-602-6733,,,,Y,,2019-03-28
"좋은성품어린이집",경상남도,창원시 성산구,가정,20,5,경상남도 창원시 성산구 반송로61번길 25 (반지동),055-265-3662,,,,,Y,,2019-03-28
"좋은어린이집",경상남도,창원시 성산구,가정,19,6,"경상남도 창원시 성산구 창원천로 288 110동 103호(반지동, 반송대동그린파크2차아파트)",055-237-4466,055-237-4466,,,,Y,,2019-03-28
"참빛어린이집",경상남도,창원시 성산구,가정,19,8,"경상남도 창원시 성산구 반송로 159 204동 101호(반림동, 현대2차아파트)",055-264-3160,055-264-3160,,,,N,,2019-03-28
"창원키즈스쿨어린이집",경상남도,창원시 성산구,가정,17,3,"경상남도 창원시 성산구 반송로 105 12동 106호(반림동, 럭키반림3차아파트)",055-238-9304,050-8090-1715,,,,Y,,2019-03-28
"키즈랜드어린이집",경상남도,창원시 성산구,가정,17,3,"경상남도 창원시 성산구 원이대로 495 221동 104호(반림동,트리비앙아파트)",070-8914-4693,055-267-4693,,,,N,,2019-03-28
"트리키즈어린이집",경상남도,창원시 성산구,가정,20,5,"경상남도 창원시 성산구 원이대로 495 210동 103호(반림동, 트리비앙아파트)",055-263-2467,055-263-2467,,,,Y,,2019-03-28
"푸른초장어린이집",경상남도,창원시 성산구,가정,19,6,"경상남도 창원시 성산구 반송로 177 201동 102호(반림동, 현대2차아파트)",055-262-0071,055-262-0071,,,,Y,,2019-03-28
"하나둘셋어린이집",경상남도,창원시 성산구,가정,20,4,"경상남도 창원시 성산구 원이대로 449 123동 106호(반림동, 노블파크아파트)",055-602-2878,055-0000-0000,,,,N,,2019-03-28
"한결어린이집",경상남도,창원시 성산구,가정,19,4,"경상남도 창원시 성산구 창원천로 292 101동 104호(반지동, 반송대동그린파크2차아파트)",055-237-2283,,,,,Y,,2019-03-28
"한아름어린이집",경상남도,창원시 성산구,가정,20,2,"경상남도 창원시 성산구 원이대로 449 114동 102호(반림동, 노블파크아파트)",055-266-3188,055-266-3188,,,,N,,2019-03-28
"해솔어린이집",경상남도,창원시 성산구,가정,20,6,경상남도 창원시 성산구 창원천로144번길 14-1,055-288-6567,,,,,Y,,2019-03-28
"햇살가득어린이집",경상남도,창원시 성산구,가정,19,4,경상남도 창원시 성산구 반송로 105 13동 103호,055-281-8797,055-281-8797,,,,Y,,2019-03-28
"차일드-케어센터 희연병원 직장어린이집",경상남도,창원시 성산구,직장,20,4,"경상남도 창원시 성산구 원이대로393번길 25 1층 1002호(반지동,케이프타운)",055-270-2179,,,,,Y,,2019-03-28
"창원시립 대방어린이집",경상남도,창원시 성산구,국공립,90,11,경상남도 창원시 성산구 대암로 272 창원시립대방어린이집,055-289-7912,055-286-7910,,,,Y,,2019-03-28
"상록어린이집",경상남도,창원시 성산구,사회복지법인,73,7,경상남도 창원시 성산구 동산로206번길 18 (사파동),055-261-2855,055-261-2855,,,,Y,,2019-03-28
"성모어린이집",경상남도,창원시 성산구,사회복지법인,120,16,경상남도 창원시 성산구 대암로 175 (대방동),055-264-1044,055-716-0046,,,,Y,,2019-03-28
"그린숲어린이집",경상남도,창원시 성산구,민간,38,7,"경상남도 창원시 성산구 창이대로881번길 6 203동 1층(대방동, 대동디지털황토방1차아파트)",055-282-6312,055-282-6312,,,,N,,2019-03-28
"꽃무지풀무지어린이집",경상남도,창원시 성산구,민간,65,9,경상남도 창원시 성산구 창이대로707번길 8-15,055-289-9023,055-263-8625,,,,Y,,2019-03-28
"대동몬테소리어린이집",경상남도,창원시 성산구,민간,55,11,경상남도 창원시 성산구 대정로 142 대동 A  사회복지동 1층 대동 몬테소리 어린이집,055-262-9968,055-262-9968,,,,Y,,2019-03-28
"대방신비어린이집",경상남도,창원시 성산구,민간,67,8,경상남도 창원시 성산구 대암로 82 성원3차아파트 관리동,055-262-7584,,,,,Y,,2019-03-28
"동성아이꿈어린이집",경상남도,창원시 성산구,민간,36,9,경상남도 창원시 성산구 대암로 282 대방동 동성아파트 복리동,055-262-3500,055-262-3500,,,,Y,,2019-03-28
"동성아이별꽃어린이집",경상남도,창원시 성산구,민간,29,5,경상남도 창원시 성산구 대정로 149 개나리1차아파트 관리동,055-266-4319,055-266-4319,,,,N,,2019-03-28
"동성피노키오어린이집",경상남도,창원시 성산구,민간,52,9,경상남도 창원시 성산구 창이대로 737 동성아파트 복리관 1층 동성피노키오 어린이집,055-263-0717,055-263-0717,,,,Y,,2019-03-28
"명성어린이집",경상남도,창원시 성산구,민간,378,28,경상남도 창원시 성산구 비음로91번길 21 (사파동),055-287-1518,055-287-0555,,,,Y,,2019-03-28
"성민어린이집",경상남도,창원시 성산구,민간,49,10,경상남도 창원시 성산구 원이대로773번길 25 (사파동),055-274-0284,055-719-0284,,,,Y,,2019-03-28
"시온키즈어린이집",경상남도,창원시 성산구,민간,33,4,경상남도 창원시 성산구 대암로 272 대방2차덕산타운관리동2층,055-262-9727,055-263-5795,,,,Y,,2019-03-28
"킨더하임숲어린이집",경상남도,창원시 성산구,민간,39,9,경상남도 창원시 성산구 대암로 256 대방그린빌 복리동 1층,055-284-7121,055-284-7221,,,,Y,,2019-03-28
"피노키오어린이집",경상남도,창원시 성산구,민간,27,6,경상남도 창원시 성산구 대정로 131 대방동 덕산1차아파트 복리관 2층,055-284-1670,055-284-1670,,,,Y,,2019-03-28
"해피어린이집",경상남도,창원시 성산구,민간,39,7,경상남도 창원시 성산구 창이대로881번길 17 103동복리동 대방 대동황토방1차아파트,055-264-6776,055-264-6776,,,,Y,,2019-03-28
"그린엔젤어린이집",경상남도,창원시 성산구,가정,11,4,"경상남도 창원시 성산구 대암로 256 106동 103호(대방동, 대방그린빌아파트)",055-287-3324,055-287-3324,,,,Y,,2019-03-28
"꼬마별어린이집",경상남도,창원시 성산구,가정,11,0,"경상남도 창원시 성산구 대정로 149 101동 107호(대방동, 개나리1차아파트)",055-264-1279,,,,,N,,2019-03-28
"꿈송이어린이집",경상남도,창원시 성산구,가정,20,6,"경상남도 창원시 성산구 대정로 138 110동 102호(대방동, 대방대동아파트)",055-262-1729,055-262-1729,,,,Y,,2019-03-28
"단비어린이집",경상남도,창원시 성산구,가정,16,4,경상남도 창원시 성산구 창이대로707번길 12-5,055-283-1050,055-283-1050,,,,Y,,2019-03-28
"대방늘푸른어린이집",경상남도,창원시 성산구,가정,19,6,"경상남도 창원시 성산구 대암로 82 304동 106호(대방동, 성원남산3차아파트)",055-264-0565,055-264-0565,,,,Y,,2019-03-28
"대방베베스쿨어린이집",경상남도,창원시 성산구,가정,19,4,"경상남도 창원시 성산구 대정로 131 103동 104호(대방동, 대방덕산타운1차아파트)",055-261-2758,050-052-1926,,,,Y,,2019-03-28
"동성나라어린이집",경상남도,창원시 성산구,가정,20,6,"경상남도 창원시 성산구 창이대로 733 109동 101호(사파동, 사파동성아파트)",055-266-9519,055-266-9519,,,,Y,,2019-03-28
"디딤돌어린이집",경상남도,창원시 성산구,가정,19,5,"경상남도 창원시 성산구 대암로 80 303동 103호(대방동, 성원남산3차아파트)",055-287-5865,055-287-5865,,,,Y,,2019-03-28
"라라어린이집",경상남도,창원시 성산구,가정,14,6,"경상남도 창원시 성산구 동산로 148 8동 106호(사파동, 동양무궁화임대아파트)",055-263-1765,055-263-1765,,,,Y,,2019-03-28
"리틀대동어린이집",경상남도,창원시 성산구,가정,19,6,"경상남도 창원시 성산구 대정로 138 112동 103호(대방동, 대방대동아파트)",055-285-5667,055-285-5667,,,,N,,2019-03-28
"블루베리어린이집",경상남도,창원시 성산구,가정,11,5,"경상남도 창원시 성산구 대정로 149 106동 104호(대방동, 개나리1차아파트)",055-263-7897,055-263-7897,,,,N,,2019-03-28
"사파재능어린이집",경상남도,창원시 성산구,가정,20,2,경상남도 창원시 성산구 비음로 50-1,055-264-2990,,,,,Y,,2019-03-28
"상아탑어린이집",경상남도,창원시 성산구,가정,19,5,"경상남도 창원시 성산구 대암로 282 102동 105호(대방동, 대방동성아파트)",055-274-3525,055-274-3525,,,,N,,2019-03-28
"솔방울어린이집",경상남도,창원시 성산구,가정,11,2,"경상남도 창원시 성산구 대암로 126 311동 113호(대방동, 성원남산3차아파트)",055-263-7877,055-263-7877,,,,N,,2019-03-28
"시온어린이집",경상남도,창원시 성산구,가정,20,3,"경상남도 창원시 성산구 대정로 131 106동 101호(대방동, 대방덕산타운1차아파트)",055-285-6240,055-285-6240,,,,Y,,2019-03-28
"아뜰리에어린이집",경상남도,창원시 성산구,가정,19,5,"경상남도 창원시 성산구 대정로 138 109동 102호(대방동, 대방대동아파트)",055-287-3347,,,,,Y,,2019-03-28
"아이웃음어린이집",경상남도,창원시 성산구,가정,13,5,"경상남도 창원시 성산구 대정로 145 102동 105호(대방동, 개나리1차아파트)",055-287-9196,055-287-9196,,,,N,,2019-03-28
"우리사랑어린이집",경상남도,창원시 성산구,가정,20,6,"경상남도 창원시 성산구 대정로 131 102동 107호(대방동, 대방덕산타운)",055-261-2577,055-261-2577,,,,Y,,2019-03-28
"초코송이어린이집",경상남도,창원시 성산구,가정,11,3,"경상남도 창원시 성산구 대정로 145 103동 105호(대방동, 개나리1차아파트)",055-281-3026,,,,,N,,2019-03-28
"코코몽어린이집",경상남도,창원시 성산구,가정,15,5,"경상남도 창원시 성산구 창이대로 737 110동 101호(사파동, 사파동성아파트)",055-262-3660,055-262-3660,,,,N,,2019-03-28
"키티어린이집",경상남도,창원시 성산구,가정,14,6,"경상남도 창원시 성산구 창이대로 737 105동 103호(사파동, 사파동성아파트)",055-285-7588,055-285-7588,,,,Y,,2019-03-28
"텔레토비어린이집",경상남도,창원시 성산구,가정,20,6,"경상남도 창원시 성산구 창이대로 733 112동 102호(사파동, 사파동성아파트)",055-283-3671,055-263-3671,,,,Y,,2019-03-28
"포동이어린이집",경상남도,창원시 성산구,가정,20,6,경상남도 창원시 성산구 동산로220번길 30 (사파동),055-261-8328,055-261-8328,,,,Y,,2019-03-28
"하늘사랑어린이집",경상남도,창원시 성산구,가정,11,5,"경상남도 창원시 성산구 대정로 142 104동 114호(대방동, 대동아파트)",055-266-3435,055-266-3435,,,,Y,,2019-03-28
"해를담는아이들어린이집",경상남도,창원시 성산구,가정,19,5,"경상남도 창원시 성산구 창이대로881번길 17 109동 104호(대방동, 대동디지털황토방2차아파트)",055-262-4297,,,,,Y,,2019-03-28
"해맑은어린이집",경상남도,창원시 성산구,가정,16,3,"경상남도 창원시 성산구 대암로 80 306동 107호(대방동, 성원남산3차아파트)",055-261-9337,055-261-9337,,,,Y,,2019-03-28
"해송어린이집",경상남도,창원시 성산구,가정,20,4,"경상남도 창원시 성산구 신사로 106 10동 106호(사파동, 대동아파트)",055-267-2505,055-267-2505,,,,Y,,2019-03-28
"황금똥 어린이집",경상남도,창원시 성산구,가정,13,3,"경상남도 창원시 성산구 대정로 142 108동 108호(대방동, 대방대동아파트)",055-281-3122,055-281-3122,,,,Y,,2019-03-28
"경남경찰청어린이집",경상남도,창원시 성산구,직장,80,17,경상남도 창원시 성산구 비음로55번길 18-21,055-266-1128,055-266-1108,,,,N,,2019-03-28
"창원법원어린이집",경상남도,창원시 성산구,직장,65,12,경상남도 창원시 성산구 창이대로 681 창원법원어린이집,055-263-7077,055-263-7075,,,,N,,2019-03-28
"창원시립 상남어린이집",경상남도,창원시 성산구,국공립,98,14,경상남도 창원시 성산구 마디미로73번길 14,055-285-1577,055-285-1587,,,,Y,,2019-03-28
"목화어린이집",경상남도,창원시 성산구,민간,29,7,"경상남도 창원시 성산구 동산로 115 111동 1층(상남동, 대동1차아파트)",055-283-9240,055-284-9240,,,,Y,,2019-03-28
"보아라어린이집",경상남도,창원시 성산구,민간,43,7,"경상남도 창원시 성산구 원이대로 774 (상남동, 성원아파트2단지 관리동 1층)",055-283-8535,055-283-8536,,,,Y,,2019-03-28
"세아어린이집",경상남도,창원시 성산구,민간,46,10,경상남도 창원시 성산구 원이대로 774 성원아파트 5단지 복지동,055-261-2237,055-261-2237,,,,Y,,2019-03-28
"신비어린이집",경상남도,창원시 성산구,민간,45,9,경상남도 창원시 성산구 원이대로 776 성원아파트 3단지관리동 1층,055-281-6021,055-281-6021,,,,Y,,2019-03-28
"은빛어린이집",경상남도,창원시 성산구,민간,36,7,"경상남도 창원시 성산구 동산로 115 103동(상남동, 대동1차아파트)",055-266-4634,055-266-4634,,,,Y,,2019-03-28
"호크마어린이집",경상남도,창원시 성산구,민간,36,7,경상남도 창원시 성산구 동산로 115 대동아파트 116동 탁아상가 C호,055-275-6007,055-275-6007,,,,Y,,2019-03-28
"꿈나무어린이집",경상남도,창원시 성산구,가정,19,6,"경상남도 창원시 성산구 원이대로 774 204동 104호(상남동, 성원아파트)",055-283-8474,055-264-5702,,,,Y,,2019-03-28
"대동색동어린이집",경상남도,창원시 성산구,가정,20,7,"경상남도 창원시 성산구 동산로 115 105동 104호(상남동, 대동1차아파트)",055-262-2918,050-461-3037,,,,Y,,2019-03-28
"대동아이사랑어린이집",경상남도,창원시 성산구,가정,20,4,"경상남도 창원시 성산구 동산로 115 109동 103호(상남동, 대동1차아파트)",055-285-3588,,,,,N,,2019-03-28
"대동피노키오어린이집",경상남도,창원시 성산구,가정,20,4,"경상남도 창원시 성산구 동산로 115 110동 102호(상남동, 대동1차아파트)",055-284-8047,055-284-8047,,,,N,,2019-03-28
"리틀세아어린이집",경상남도,창원시 성산구,가정,16,5,"경상남도 창원시 성산구 원이대로 774 205동 103호(상남동, 성원아파트)",055-261-2961,055-261-2961,,,,Y,,2019-03-28
"봄봄어린이집",경상남도,창원시 성산구,가정,19,7,"경상남도 창원시 성산구 원이대로 774 108동 101호(상남동, 성원3차아파트)",055-261-3338,055-261-3338,,,,N,,2019-03-28
"사랑이야기어린이집",경상남도,창원시 성산구,가정,19,4,"경상남도 창원시 성산구 원이대로 774 311동 102호(상남동, 성원3차아파트)",055-287-8040,055-287-8040,,,,Y,,2019-03-28
"새하늘어린이집",경상남도,창원시 성산구,가정,19,6,"경상남도 창원시 성산구 동산로 115 104동 102호(상남동, 대동1차아파트)",055-262-0218,055-262-0218,,,,Y,,2019-03-28
"성원동화나라어린이집",경상남도,창원시 성산구,가정,19,6,"경상남도 창원시 성산구 원이대로 774 307동 104호(상남동, 성원3차아파트)",055-267-4433,055-264-3945,,,,Y,,2019-03-28
"성원포동이어린이집",경상남도,창원시 성산구,가정,20,7,"경상남도 창원시 성산구 원이대로 774 105동 102호(상남동, 성원아파트)",055-263-3092,055-263-3092,,,,Y,,2019-03-28
"애기똥풀어린이집",경상남도,창원시 성산구,가정,20,7,"경상남도 창원시 성산구 원이대로 774 303동 105호(상남동, 성원3차아파트)",055-284-4318,,,,,Y,,2019-03-28
"애돌이어린이집",경상남도,창원시 성산구,가정,20,2,"경상남도 창원시 성산구 원이대로 774 312동 106호(상남동, 성원3차아파트)",055-266-3090,,,,,Y,,2019-03-28
"큰빛어린이집",경상남도,창원시 성산구,가정,20,4,"경상남도 창원시 성산구 원이대로 774 504동 101호(상남동, 성원3차아파트)",055-289-8997,,,,,Y,,2019-03-28
"해뜸어린이집",경상남도,창원시 성산구,가정,19,5,"경상남도 창원시 성산구 동산로 115 113동 106호(상남동, 대동1차아파트)",055-264-9187,,,,,Y,,2019-03-28
"해피엔젤어린이집",경상남도,창원시 성산구,가정,19,3,"경상남도 창원시 성산구 원이대로 774 206동 106호(상남동, 성원아파트)",055-262-3388,055-262-3388,,,,Y,,2019-03-28
"한마음꿈나무어린이집",경상남도,창원시 성산구,직장,20,6,경상남도 창원시 성산구 동산로 115 대동아동아파트 112동 105호,055-262-2201,055-262-2203,,,,N,,2019-03-28
"창원시립 남산어린이집",경상남도,창원시 성산구,국공립,98,13,경상남도 창원시 성산구 삼정자로 110,055-261-4774,055-261-4774,,,,Y,,2019-03-28
"성주어린이집",경상남도,창원시 성산구,사회복지법인,136,16,경상남도 창원시 성산구 안민안길11번길 13 성주어린이집 (안민동),055-287-0353,055-287-0353,,,,Y,,2019-03-28
"한사랑어린이집",경상남도,창원시 성산구,사회복지법인,45,28,경상남도 창원시 성산구 안민안길24번길 8 (안민동),055-286-7697,055-286-7698,,,,Y,,2019-03-28
"대동청솔어린이집",경상남도,창원시 성산구,민간,39,9,"경상남도 창원시 성산구 안민로101번길 29 107동(안민동, 안민청솔마을대동아파트)",055-284-0232,,,,,Y,,2019-03-28
"대동한솔어린이집",경상남도,창원시 성산구,민간,39,9,경상남도 창원시 성산구 안민로 161 한솔마을대동아파트,055-284-2227,055-284-2227,,,,Y,,2019-03-28
"사랑가득 안민어린이집",경상남도,창원시 성산구,민간,22,5,경상남도 창원시 성산구 안민안길 34 (안민동),055-275-7726,055-275-7726,,,,Y,,2019-03-28
"아이누리어린이집",경상남도,창원시 성산구,민간,38,5,경상남도 창원시 성산구 창원대로1209번길 22  성주동 프리빌리지2차아파트 211동복지동,055-287-4747,055-287-4746,,,,Y,,2019-03-28
"예은어린이집",경상남도,창원시 성산구,민간,31,6,경상남도 창원시 성산구 외리로34번길 13 한림푸리지오아파트 복지동 1층 예은어린이집,055-285-0515,030-3130-1363,,,,Y,,2019-03-28
"이레어린이집",경상남도,창원시 성산구,민간,39,8,경상남도 창원시 성산구 삼정자로 79 유니온빌리지 관리동 1층 이레어린이집,055-285-7770,055-285-7716,,,,Y,,2019-03-28
"킨더크리페어린이집",경상남도,창원시 성산구,민간,33,8,경상남도 창원시 성산구 대암로 253 프리빌리지 아파트 복리동,055-262-6809,055-266-6809,,,,Y,,2019-03-28
"효성해링턴어린이집",경상남도,창원시 성산구,민간,26,7,"경상남도 창원시 성산구 삼정자로 78 보육시설동(성주동, 성주 효성해링턴 코트)",055-286-6259,055-286-6259,,,,Y,,2019-03-28
"가람휘어린이집",경상남도,창원시 성산구,가정,16,3,"경상남도 창원시 성산구 안민안길 50 105동 102호(천선동, 서광파크빌아파트)",055-261-7902,055-261-7902,,,,Y,,2019-03-28
"대우예은어린이집",경상남도,창원시 성산구,가정,13,5,"경상남도 창원시 성산구 정동로 164 203동 109호(남산동, 대우사원2차아파트)",055-287-5798,055-287-5798,,,,N,,2019-03-28
"동그라미어린이집",경상남도,창원시 성산구,가정,13,4,"경상남도 창원시 성산구 안민로117번길 3 102동 101호(안민동, 동부산아이존빌)",055-267-7838,,,,,N,,2019-03-28
"방글방글어린이집",경상남도,창원시 성산구,가정,15,5,"경상남도 창원시 성산구 정동로162번길 31 202동 106호(남산동, 대우사원2차아파트)",055-265-9406,055-264-9406,,,,N,,2019-03-28
